TIME(s),V
0.0,-0.008940105237406293
8.333333333333333e-05,-0.0074605884368708075
0.00016666666666666666,-0.010255231256764308
0.00025,-0.008446932973944943
0.0003333333333333333,-0.00959766825009245
0.00041666666666666664,-0.009268886744500993
0.0005,-0.011241575755499778
0.0005833333333333333,-0.006309853126505782
0.0006666666666666666,-0.008611323728808351
0.00075,-0.010090840505660115
0.0008333333333333333,-0.008118151463090584
0.0009166666666666666,-0.009762059002324186
0.001,-0.005816680844993094
0.0010833333333333333,-0.007953760707099633
0.0011666666666666665,-0.007624979193989745
0.00125,-0.0030220378524501434
0.0013333333333333333,-0.008446932973944943
0.0014166666666666666,-0.0072961976793752825
0.0015,-0.007624979193989745
0.0015833333333333333,-0.008611323728808351
0.0016666666666666666,-0.006803025404633178
0.00175,-0.006145462366377696
0.0018333333333333333,-0.005981071605873467
0.0019166666666666666,-0.008775714483295172
0.002,-0.008611323728808351
0.0020833333333333333,-0.010255231256764308
0.0021666666666666666,-0.009433277497484571
0.00225,-0.004994727034947299
0.002333333333333333,-0.00696741616325669
0.002416666666666667,-0.0028576470847951896
0.0025,-0.009433277497484571
0.0025833333333333333,-0.007131806921504058
0.0026666666666666666,-0.008282542218705835
0.00275,-0.00532350856009467
0.002833333333333333,-0.007953760707099633
0.0029166666666666664,-0.007789369950732539
0.003,-0.005159117797708834
0.0030833333333333333,-0.008611323728808351
0.0031666666666666666,-0.0035152101531559232
0.00325,-0.006638634645633523
0.003333333333333333,-0.0056522900837365775
0.0034166666666666664,-0.00696741616325669
0.0035,-0.00696741616325669
0.0035833333333333333,-0.00696741616325669
0.0036666666666666666,-0.01058401275784604
0.00375,-0.009268886744500993
0.003833333333333333,-0.012885483223338046
0.003916666666666666,-0.011899138747142324
0.004,-0.01403621842848013
0.004083333333333333,-0.012392310986930166
0.004166666666666667,-0.013049873968056236
0.0042499999999999994,-0.008940105237406293
0.004333333333333333,-0.016830860992965935
0.004416666666666667,-0.010748403507823134
0.0045,-0.0165020795204196
0.004583333333333333,-0.01436499991228457
0.004666666666666666,-0.012063529494113823
0.00475,-0.015680125832488567
